time/steps,time/epochs,time/steps_per_second,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,step
3000,0,12.982488591776322,0.7175551471114159,0.638958338573575,0.9557291673123837,0.9034722258150577,0.6465607762336731,0.7986111134290695,0.9381944447755813,0.9062500029802323,3000
3200,0,13.393774026174915,0.7015258303284645,0.6438194503262639,0.9543402774631977,0.9061805607378483,0.6286480009555817,0.8256944507360459,0.9534722179174423,0.9118055611848831,3250
3500,0,12.81023473954716,0.6856074517965317,0.6481250060722232,0.9478819440305233,0.9051041701436042,0.6228962242603302,0.8201388955116272,0.9652777731418609,0.9166666716337204,3500
3700,0,13.528771747520969,0.6548619350790977,0.6481597281619906,0.9525347237288951,0.9119791708886623,0.5759184718132019,0.8131944447755813,0.9506944417953491,0.9305555582046509,3750
4000,0,13.462195141013334,0.6611199662089348,0.6556944486498832,0.9592013883590699,0.911180558949709,0.5132425665855408,0.809722226858139,0.9645833313465119,0.9375000059604645,4000
4200,0,13.067394674042449,0.6523464334011078,0.6557986165955663,0.9597916670143605,0.9151388923823833,0.6820737659931183,0.7756944447755814,0.9638888895511627,0.9194444477558136,4250
4500,0,12.857182444480248,0.6229774716496468,0.6526041704788804,0.9560069438815116,0.9178125044703483,0.6418118715286255,0.8277777850627899,0.9548611104488373,0.9319444477558136,4500
4700,0,13.250840770305205,0.6415083983540535,0.6551736166328191,0.9594097219407558,0.912083336263895,0.540458756685257,0.8208333373069763,0.9687499970197677,0.9402777791023255,4750
5000,0,12.908712808082004,0.6104180550575257,0.6488194491714239,0.958645832836628,0.917326393276453,0.632980078458786,0.7923611164093017,0.9645833283662796,0.9104166686534881,5000
5200,0,13.109910064221088,0.6173556262254715,0.6556250041350722,0.965451388657093,0.9190972267091274,0.6850480914115906,0.7979166686534882,0.9722222179174423,0.8986111164093018,5250
5500,0,13.555416190438178,0.6334262001514435,0.6666319479048252,0.9559027789533139,0.9139583376049996,0.6274913311004638,0.7756944507360458,0.9555555582046509,0.922222226858139,5500
5700,0,13.501827185661519,0.6048340371251106,0.6640277839452028,0.9590277783572674,0.9176736162602901,0.5813742458820343,0.7493055611848831,0.9618055582046509,0.9256944537162781,5750
6000,0,13.176730311672117,0.5951622232794762,0.6641319489479065,0.9582291662693023,0.922013892531395,0.7222933530807495,0.7180555641651154,0.9555555492639541,0.895138892531395,6000
6200,0,13.116469244859477,0.6096843847632408,0.6680555602535605,0.9588888908922673,0.9191666711866856,0.5928475737571717,0.7229166746139526,0.9479166597127915,0.9319444477558136,6250
6500,1,13.656223278239969,0.6108969706296921,0.6674305606260895,0.9600694441795349,0.9188888917863369,0.8022181153297424,0.7458333373069763,0.967361107468605,0.8923611223697663,6500
6700,1,13.317213285843584,0.6354469072818756,0.6700000056251884,0.9620486097037793,0.91725694835186,0.5457264840602875,0.7375000029802322,0.9541666656732559,0.9444444477558136,6750
7000,1,13.08366249117837,0.5993529677391052,0.6652777832746506,0.9603819432854652,0.9218055586516857,0.6039478540420532,0.7500000089406967,0.9743055462837219,0.9104166746139526,7000
7200,1,13.256552881705346,0.5968836548924447,0.671423617452383,0.960937499254942,0.9219791689515113,0.6833049535751343,0.6722222343087196,0.9736111104488373,0.9187500059604645,7250
7500,1,13.331452952806105,0.5935164803266525,0.666840282715857,0.9620138873159886,0.9201041708886624,0.5846975982189179,0.7750000089406968,0.9611111074686051,0.92777778506279,7500
7700,1,13.040217293843014,0.5715301838517189,0.6684027832746505,0.9624999988079072,0.9235416705906391,0.6672336518764496,0.7506944417953492,0.9743055522441864,0.9145833373069763,7750
8000,1,13.133902043723769,0.5887562909722328,0.6754513946175575,0.9578472213447093,0.9223958361148834,0.6625009298324585,0.6888888955116272,0.9763888895511628,0.9138888865709305,8000
8200,1,13.500891480302794,0.5818217200040817,0.6794097275286913,0.9613541661202908,0.9210069482028485,0.6539813578128815,0.6381944462656974,0.9465277820825577,0.9243055552244186,8250
8500,1,13.243768917340054,0.5695200064778327,0.6817013936489821,0.9604861100018024,0.9261458367109299,0.6856351971626282,0.6284722238779068,0.9534722179174423,0.9166666716337204,8500
